[[41613.225603678], [0.2841745913028717], [0.1161615401506424], [9.831168174743652]]
[[41613.245603678], [0.2790272831916809], [0.10036633163690567], [9.81020736694336]]
[[41613.265603678], [0.30675008893013], [0.10569863766431808], [9.811758995056152]]
[[41613.285603678], [0.2698550522327423], [0.10746833682060242], [9.795475006103516]]
[[41613.305603678], [0.27091240882873535], [0.12258289009332657], [9.802387237548828]]
[[41613.325603678], [0.28081849217414856], [0.11087550967931747], [9.805013656616211]]
[[41613.345603571], [0.28673452138900757], [0.10218252241611481], [9.805512428283691]]
[[41613.365603571], [0.28235962986946106], [0.11539193987846375], [9.800600051879883]]
[[41613.385603571], [0.2697674632072449], [0.08328581601381302], [9.812117576599121]]
[[41613.405603571], [0.26446008682250977], [0.1026284396648407], [9.797930717468262]]
[[41613.425604571], [0.28241822123527527], [0.10718382894992828], [9.791102409362793]]
[[41613.445604571], [0.28374922275543213], [0.1127740815281868], [9.804489135742188]]
[[41613.465604571], [0.28691375255584717], [0.10987254977226257], [9.805631637573242]]
[[41613.485604571], [0.2762799561023712], [0.10395371168851852], [9.797618865966797]]
[[41613.505604571], [0.28897637128829956], [0.10920090228319168], [9.813211441040039]]
[[41613.525604571], [0.2797467112541199], [0.09757820516824722], [9.805560111999512]]
[[41613.545604571], [0.27499818801879883], [0.10491588711738586], [9.787725448608398]]
[[41613.565604571], [0.28674811124801636], [0.11883438378572464], [9.794808387756348]]
[[41613.585604571], [0.2891662120819092], [0.10623058676719666], [9.81323528289795]]
[[41613.605604465], [0.2804242968559265], [0.10072603076696396], [9.810325622558594]]
[[41613.625604465], [0.2930909991264343], [0.12141652405261993], [9.826038360595703]]
[[41613.645605465], [0.28810915350914], [0.1117950975894928], [9.787893295288086]]
[[41613.665605465], [0.2929004728794098], [0.08986169844865799], [9.806178092956543]]
[[41613.685605465], [0.2949353754520416], [0.12203711271286011], [9.80024242401123]]
[[41613.705605465], [0.2857629656791687], [0.09756230562925339], [9.814240455627441]]
[[41613.725605465], [0.2841862738132477], [0.106233611702919], [9.79452133178711]]
[[41613.745605465], [0.2834000587463379], [0.10879149287939072], [9.805558204650879]]
[[41613.765605465], [0.28619420528411865], [0.11609753221273422], [9.802319526672363]]
[[41613.785605465], [0.2676934599876404], [0.11386039853096008], [9.803175926208496]]
[[41613.805605465], [0.29434934258461], [0.10188524425029755], [9.789801597595215]]
[[41613.825605465], [0.2659456431865692], [0.09423024207353592], [9.807536125183105]]
[[41613.845605359], [0.2724207937717438], [0.11088082194328308], [9.799478530883789]]
[[41613.865606359], [0.27979686856269836], [0.09885215759277344], [9.802412033081055]]
[[41613.885606359], [0.2682788372039795], [0.10439972579479218], [9.802319526672363]]
[[41613.905606359], [0.3003289997577667], [0.10589349269866943], [9.790084838867188]]
[[41613.925606359], [0.28481632471084595], [0.11546081304550171], [9.812115669250488]]
[[41613.945606359], [0.27147024869918823], [0.09803411364555359], [9.803007125854492]]
[[41613.965606359], [0.26053375005722046], [0.09724509716033936], [9.802220344543457]]
[[41613.985606359], [0.290259450674057], [0.11868926137685776], [9.80007266998291]]
[[41614.005607359], [0.2915375828742981], [0.10223434865474701], [9.801651954650879]]
[[41614.025607359], [0.27430668473243713], [0.10276941955089569], [9.804676055908203]]
[[41614.045607359], [0.2646322250366211], [0.10544618219137192], [9.795899391174316]]
[[41614.065607359], [0.2852298319339752], [0.10360337048768997], [9.813615798950195]]
[[41614.085607359], [0.2516058683395386], [0.10865677893161774], [9.798357963562012]]
[[41614.105602255], [0.2663024365901947], [0.10197944939136505], [9.806440353393555]]
[[41614.125602255], [0.2930479049682617], [0.10570534318685532], [9.795331001281738]]
[[41614.145602255], [0.2796185612678528], [0.10580199211835861], [9.813165664672852]]
[[41614.165602255], [0.2893003523349762], [0.09756254404783249], [9.810831069946289]]
[[41614.185602255], [0.2767173945903778], [0.12108366936445236], [9.823107719421387]]
[[41614.205602255], [0.291396826505661], [0.11189871281385422], [9.79499626159668]]
[[41614.225603255], [0.28913426399230957], [0.11237554997205734], [9.79236888885498]]
[[41614.245603255], [0.28945064544677734], [0.10629168152809143], [9.811236381530762]]
[[41614.265603255], [0.2758212983608246], [0.1118435263633728], [9.81647777557373]]
[[41614.285603255], [0.28092125058174133], [0.07872678339481354], [9.805562019348145]]
[[41614.305603255], [0.28339019417762756], [0.0888625755906105], [9.802077293395996]]
[[41614.325603255], [0.27691465616226196], [0.10593438148498535], [9.794378280639648]]
[[41614.345603148], [0.275773823261261], [0.12232691794633865], [9.805176734924316]]
[[41614.365603148], [0.270538866519928], [0.09737522155046463], [9.809159278869629]]
[[41614.385603148], [0.282871812582016], [0.10331817716360092], [9.80124282836914]]
[[41614.405603148], [0.28035110235214233], [0.08818351477384567], [9.793402671813965]]
[[41614.425604148], [0.26943203806877136], [0.10715259611606598], [9.80119514465332]]
[[41614.445604148], [0.2872575521469116], [0.121552474796772], [9.806988716125488]]
[[41614.465604148], [0.2871045470237732], [0.10201974958181381], [9.812066078186035]]
[[41614.485604148], [0.29517534375190735], [0.10540249943733215], [9.789417266845703]]
[[41614.505604148], [0.2809041142463684], [0.09877576678991318], [9.807059288024902]]
[[41614.525604148], [0.2851484417915344], [0.10251351445913315], [9.809492111206055]]
[[41614.545604148], [0.28474098443984985], [0.10954658687114716], [9.798286437988281]]
[[41614.565604148], [0.2706025242805481], [0.1223522499203682], [9.820818901062012]]
[[41614.585604148], [0.26752617955207825], [0.11441714316606522], [9.814453125]]
[[41614.605604042], [0.28137898445129395], [0.1203613132238388], [9.804962158203125]]
[[41614.625605042], [0.27345868945121765], [0.11104176193475723], [9.798087120056152]]
[[41614.645605042], [0.2843126654624939], [0.12205615639686584], [9.807156562805176]]
[[41614.665605042], [0.29028457403182983], [0.11473025381565094], [9.803866386413574]]
[[41614.685605042], [0.2924472689628601], [0.11863061040639877], [9.794998168945312]]
[[41614.705605042], [0.29083696007728577], [0.11325040459632874], [9.797812461853027]]
[[41614.725605042], [0.27666139602661133], [0.10110926628112793], [9.796164512634277]]
[[41614.745605042], [0.3106667697429657], [0.12326047569513321], [9.818099021911621]]
[[41614.765605042], [0.2728734612464905], [0.11442825198173523], [9.801651000976562]]
[[41614.785605042], [0.2926643490791321], [0.10286881774663925], [9.814526557922363]]
[[41614.805605042], [0.28524282574653625], [0.10809691250324249], [9.805891990661621]]
[[41614.825605042], [0.26179248094558716], [0.10550643503665924], [9.798524856567383]]
[[41614.845605936], [0.28908103704452515], [0.101485475897789], [9.806511878967285]]
