[[41613.965606359], [0.002739578951150179], [-0.0015124676283448935], [0.0022269790060818195]]
[[41613.985606359], [0.004061311483383179], [-0.0032782552298158407], [-0.0004947183188050985]]
[[41614.005607359], [0.0019632282201200724], [0.0029452145099639893], [-4.917359910905361e-05]]
[[41614.025607359], [0.004417449701577425], [-0.0011935830116271973], [0.0027708711568266153]]
[[41614.045607359], [0.005737692583352327], [-0.0042989852372556925], [0.00578537629917264]]
[[41614.065607359], [0.006292015314102173], [-0.001356005435809493], [0.001133233541622758]]
[[41614.085607359], [0.0032715501729398966], [-0.00012665987014770508], [-0.001293420558795333]]
[[41614.105602255], [0.0003598630428314209], [-0.0014767050743103027], [0.001495331758633256]]
[[41614.125602255], [0.003508478868752718], [0.0006608667317777872], [0.0]]
[[41614.145602255], [-0.0012457368429750204], [-0.0009998679161071777], [0.0020734970457851887]]
[[41614.165602255], [0.002906471723690629], [0.002757459878921509], [-0.0026181337889283895]]
[[41614.185602255], [0.004529208410531282], [0.0016041100025177002], [0.0016503038350492716]]
[[41614.205602255], [0.0013537704944610596], [-0.001032650237902999], [0.0006012618541717529]]
[[41614.225603255], [0.003264099359512329], [-0.007964670425280929], [-0.0006914136465638876]]
[[41614.245603255], [0.0010676684323698282], [0.0024549663066864014], [-0.0032082197722047567]]
[[41614.265603255], [0.004949420690536499], [-0.0007450580596923828], [0.001279264921322465]]
[[41614.285603255], [-2.9802322387695312e-06], [0.0012613835278898478], [-0.0014677643775939941]]
[[41614.305603255], [0.003092736005783081], [-0.0012084839399904013], [0.00041201733984053135]]
[[41614.325603255], [-0.001782178645953536], [0.0003330409526824951], [-0.001381337409839034]]
[[41614.345603148], [0.0016488137189298868], [-0.0017732379492372274], [-0.002339482307434082]]
[[41614.365603148], [-0.0008210539817810059], [-0.001209974056109786], [-0.0020295381546020508]]
[[41614.385603148], [0.0043891374953091145], [0.0004939737264066935], [0.0010855498258024454]]
[[41614.405603148], [0.0006325545255094767], [0.002152472734451294], [-0.0011950728949159384]]
[[41614.425604148], [0.0013850629329681396], [-0.0017046928405761719], [0.004179030889645219]]
[[41614.445604148], [0.004247575998306274], [0.0005654993001371622], [0.0029139225371181965]]
