[[41627.105596753], [46.780540466308594], [6.66147518157959]]
[[41627.205596753], [46.78054141998291], [6.661476135253906]]
[[41627.305597753], [46.78054141998291], [6.661476135253906]]
[[41627.405597646], [46.78054237365723], [6.661477088928223]]
[[41627.505598646], [46.78054237365723], [6.661478042602539]]
[[41627.60559854], [46.78054237365723], [6.661479949951172]]
[[41627.70559954], [46.78054237365723], [6.661480903625488]]
[[41627.80559954], [46.78054332733154], [6.661482810974121]]
[[41627.905600435], [46.78054332733154], [6.661484718322754]]
[[41628.005601435], [46.78054332733154], [6.661486625671387]]
[[41628.10559633], [46.78054237365723], [6.6614885330200195]]
[[41628.20559633], [46.78054237365723], [6.661490440368652]]
[[41628.30559733], [46.78054237365723], [6.661492347717285]]
[[41628.405597223], [46.78054237365723], [6.661494255065918]]
[[41628.505598223], [46.78054237365723], [6.661496162414551]]
[[41628.605598118], [46.78054141998291], [6.661498069763184]]
[[41628.705599118], [46.78054141998291], [6.661499977111816]]
[[41628.805599118], [46.78054141998291], [6.661501884460449]]
[[41628.905600012], [46.78054141998291], [6.661503791809082]]
[[41629.005601012], [46.78054141998291], [6.661506652832031]]
[[41629.105595907], [46.780540466308594], [6.661508560180664]]
[[41629.205595907], [46.780540466308594], [6.661511421203613]]
[[41629.305596907], [46.780540466308594], [6.661513328552246]]
[[41629.4055968], [46.780540466308594], [6.6615142822265625]]
[[41629.5055978], [46.780540466308594], [6.661516189575195]]
[[41629.605597695], [46.780540466308594], [6.661518096923828]]
[[41629.705598695], [46.780540466308594], [6.661520957946777]]
[[41629.805598695], [46.78054141998291], [6.66152286529541]]
[[41629.905599589], [46.78054141998291], [6.661524772644043]]
[[41630.005599589], [46.78054237365723], [6.661526679992676]]
[[41630.105595484], [46.78054237365723], [6.661528587341309]]
[[41630.205595484], [46.78054237365723], [6.661530494689941]]
[[41630.305596484], [46.78054332733154], [6.661532402038574]]
[[41630.405596377], [46.78054332733154], [6.661534309387207]]
[[41630.505597377], [46.78054428100586], [6.66153621673584]]
[[41630.605597272], [46.78054428100586], [6.661538124084473]]
[[41630.705598272], [46.780545234680176], [6.6615400314331055]]
[[41630.805598272], [46.78054618835449], [6.661541938781738]]
[[41630.905599166], [46.78054618835449], [6.661543846130371]]
[[41631.005600166], [46.78054714202881], [6.661545753479004]]
[[41631.105595062], [46.780548095703125], [6.66154670715332]]
[[41631.205595062], [46.780548095703125], [6.661548614501953]]
[[41631.305596062], [46.78054904937744], [6.661550521850586]]
[[41631.405595955], [46.78055000305176], [6.661552429199219]]
[[41631.505596955], [46.780550956726074], [6.661555290222168]]
[[41631.605596849], [46.78055191040039], [6.661556243896484]]
[[41631.705597849], [46.78055286407471], [6.661558151245117]]
[[41631.805597849], [46.78055286407471], [6.66156005859375]]
[[41631.905598744], [46.78055381774902], [6.661561965942383]]
[[41632.005599744], [46.78055477142334], [6.661562919616699]]
[[41632.105594639], [46.780555725097656], [6.661564826965332]]
[[41632.205594639], [46.78055667877197], [6.661566734313965]]
[[41632.305595639], [46.78055763244629], [6.661568641662598]]
[[41632.405595533], [46.780558586120605], [6.6615705490112305]]
[[41632.505596533], [46.780558586120605], [6.661572456359863]]
[[41632.605596427], [46.78055953979492], [6.661574363708496]]
[[41632.705597427], [46.78056049346924], [6.661576271057129]]
[[41632.805597427], [46.780561447143555], [6.661577224731445]]
[[41632.905598321], [46.78056240081787], [6.661579132080078]]
[[41633.005599321], [46.78056335449219], [6.661581039428711]]
[[41633.105594217], [46.780564308166504], [6.661582946777344]]
[[41633.205594217], [46.780564308166504], [6.661584854125977]]
[[41633.305595217], [46.78056526184082], [6.661586761474609]]
[[41633.40559511], [46.78056621551514], [6.661588668823242]]
[[41633.50559611], [46.78056621551514], [6.661590576171875]]
[[41633.605596004], [46.78056716918945], [6.661592483520508]]
[[41633.705597004], [46.78056812286377], [6.661594390869141]]
[[41633.805597004], [46.780569076538086], [6.661596298217773]]
[[41633.905597899], [46.7805700302124], [6.661598205566406]]
[[41634.005597899], [46.7805700302124], [6.661600112915039]]
[[41634.105593794], [46.78057098388672], [6.661602020263672]]
[[41634.205593794], [46.780571937561035], [6.661603927612305]]
[[41634.305594794], [46.78057289123535], [6.6616058349609375]]
[[41634.405594688], [46.78057384490967], [6.661606788635254]]
[[41634.505595688], [46.78057384490967], [6.661608695983887]]
[[41634.605595582], [46.780574798583984], [6.6616106033325195]]
[[41634.705596582], [46.7805757522583], [6.661612510681152]]
[[41634.805596582], [46.78057670593262], [6.661614418029785]]
[[41634.905597476], [46.780577659606934], [6.661616325378418]]
[[41635.005598476], [46.78057861328125], [6.661617279052734]]
[[41635.105593372], [46.780579566955566], [6.661619186401367]]
[[41635.205593372], [46.780579566955566], [6.66162109375]]
[[41635.305594372], [46.78058052062988], [6.661623001098633]]
[[41635.405594265], [46.7805814743042], [6.661624908447266]]
[[41635.505595265], [46.780582427978516], [6.661626815795898]]
[[41635.605595159], [46.78058338165283], [6.661628723144531]]
[[41635.705596159], [46.78058433532715], [6.661629676818848]]
[[41635.805596159], [46.780585289001465], [6.6616315841674805]]
[[41635.905597054], [46.78058624267578], [6.661633491516113]]
[[41636.005598054], [46.7805871963501], [6.661635398864746]]
[[41636.105592949], [46.7805871963501], [6.661637306213379]]
[[41636.205592949], [46.780588150024414], [6.661638259887695]]
[[41636.305593949], [46.78058910369873], [6.661640167236328]]
[[41636.405593843], [46.78059005737305], [6.661642074584961]]
[[41636.505594843], [46.78059101104736], [6.661643981933594]]
[[41636.605594737], [46.78059196472168], [6.661645889282227]]
[[41636.705595737], [46.780592918395996], [6.661647796630859]]
[[41636.805595737], [46.78059387207031], [6.661648750305176]]
[[41636.905596632], [46.78059482574463], [6.661650657653809]]
[[41637.005597632], [46.78059482574463], [6.661652565002441]]
[[41637.105592527], [46.780595779418945], [6.661654472351074]]
[[41637.205592527], [46.78059673309326], [6.661656379699707]]
[[41637.305593527], [46.78059768676758], [6.66165828704834]]
[[41637.40559342], [46.78059768676758], [6.661660194396973]]
[[41637.50559442], [46.780598640441895], [6.6616621017456055]]
[[41637.605594315], [46.78059959411621], [6.661664009094238]]
[[41637.705595315], [46.78060054779053], [6.661664962768555]]
[[41637.805595315], [46.780601501464844], [6.6616668701171875]]
[[41637.905596209], [46.78060245513916], [6.661667823791504]]
[[41638.005597209], [46.78060340881348], [6.661669731140137]]
[[41638.105592104], [46.78060436248779], [6.6616716384887695]]
[[41638.205592104], [46.78060531616211], [6.661673545837402]]
[[41638.305593104], [46.780606269836426], [6.661674499511719]]
[[41638.405592998], [46.78060722351074], [6.661676406860352]]
[[41638.505593998], [46.78060817718506], [6.661677360534668]]
[[41638.605593892], [46.78060817718506], [6.661679267883301]]
[[41638.705594892], [46.780609130859375], [6.661681175231934]]
[[41638.805594892], [46.78061008453369], [6.661683082580566]]
[[41638.905595787], [46.78061008453369], [6.661684036254883]]
[[41639.005595787], [46.78061008453369], [6.661684989929199]]
[[41639.105591682], [46.78061008453369], [6.661685943603516]]
[[41639.205591682], [46.78061008453369], [6.661686897277832]]
[[41639.305592682], [46.78061008453369], [6.661686897277832]]
[[41639.405592575], [46.78061008453369], [6.661686897277832]]
[[41639.505593575], [46.78061008453369], [6.661687850952148]]
[[41639.60559347], [46.78061008453369], [6.661687850952148]]
[[41639.70559447], [46.78061008453369], [6.661688804626465]]
[[41639.80559447], [46.78061008453369], [6.661689758300781]]
[[41639.905595364], [46.78061008453369], [6.661690711975098]]
[[41640.005596364], [46.78061103820801], [6.661691665649414]]
[[41640.10559126], [46.78061103820801], [6.6616926193237305]]
[[41640.20559126], [46.78061103820801], [6.661694526672363]]
[[41640.30559226], [46.78061008453369], [6.661696434020996]]
[[41640.405592153], [46.78061008453369], [6.661698341369629]]
[[41640.505593153], [46.780609130859375], [6.661700248718262]]
[[41640.605593048], [46.78060817718506], [6.6617021560668945]]
[[41640.705594048], [46.78060722351074], [6.661703109741211]]
[[41640.805594048], [46.780606269836426], [6.661705017089844]]
[[41640.905594942], [46.780606269836426], [6.661706924438477]]
[[41641.005595942], [46.78060531616211], [6.661707878112793]]
[[41641.105590838], [46.78060436248779], [6.661709785461426]]
[[41641.205590838], [46.78060340881348], [6.661711692810059]]
[[41641.305591838], [46.78060245513916], [6.661712646484375]]
[[41641.405591731], [46.780601501464844], [6.661714553833008]]
[[41641.505592731], [46.78060054779053], [6.661716461181641]]
[[41641.605592625], [46.78059959411621], [6.661717414855957]]
[[41641.705593625], [46.78059959411621], [6.66171932220459]]
[[41641.805593625], [46.780598640441895], [6.661722183227539]]
[[41641.90559452], [46.78059768676758], [6.661724090576172]]
[[41642.00559552], [46.78059768676758], [6.661725997924805]]
[[41642.105590415], [46.78059768676758], [6.6617279052734375]]
[[41642.205590415], [46.78059768676758], [6.66172981262207]]
[[41642.305591415], [46.78059768676758], [6.661731719970703]]
[[41642.405591309], [46.78059768676758], [6.661733627319336]]
[[41642.505592309], [46.780598640441895], [6.661735534667969]]
