[[41668.249757352], [46.7804903], [6.6616973999999995], [499007], [-1394], [-866], [-9]]
[[41668.499757246], [46.7804886], [6.6616931], [499049], [-1331], [-740], [137]]
[[41668.749757141], [46.7804867], [6.6616881999999995], [499037], [-1425], [-790], [11]]
[[41668.999757037], [46.7804851], [6.6616843], [499075], [-1183], [-743], [-19]]
[[41669.249756931], [46.780483], [6.6616794], [499000], [-1457], [-895], [-25]]
[[41669.499756826], [46.780481699999996], [6.6616753], [499027], [-1341], [-670], [125]]
[[41669.74975672], [46.7804797], [6.6616705], [498966], [-1454], [-839], [20]]
[[41669.999756616], [46.7804776], [6.6616662], [499012], [-1319], [-898], [102]]
[[41670.24975651], [46.7804755], [6.6616615999999995], [498971], [-1388], [-950], [-16]]
[[41670.499756405], [46.780473699999995], [6.661657], [498993], [-1390], [-806], [54]]
[[41670.7497563], [46.780471999999996], [6.6616523], [498932], [-1452], [-796], [20]]
[[41670.999756196], [46.7804704], [6.6616478], [498965], [-1382], [-717], [113]]
[[41671.249756089], [46.7804691], [6.6616428], [498892], [-1538], [-614], [15]]
[[41671.499755984], [46.780469499999995], [6.6616368999999995], [498917], [-1712], [271], [194]]
[[41671.749755879], [46.780471399999996], [6.6616316], [498832], [-1626], [672], [29]]
[[41671.999755775], [46.7804733], [6.6616269], [498832], [-1467], [848], [152]]
[[41672.249755669], [46.7804752], [6.6616218], [498723], [-1541], [833], [115]]
[[41672.499755564], [46.7804772], [6.6616176], [498790], [-1334], [874], [250]]
[[41672.749755459], [46.780479], [6.661613], [498702], [-1317], [849], [7]]
[[41672.999755354], [46.7804806], [6.6616086], [498753], [-1380], [677], [134]]
[[41673.249755248], [46.780482199999994], [6.6616038], [498679], [-1435], [711], [-32]]
[[41673.499755143], [46.7804838], [6.6615991999999995], [498670], [-1411], [660], [187]]
[[41673.749755038], [46.780485399999996], [6.6615948], [498598], [-1393], [771], [140]]
[[41673.999754934], [46.780486599999996], [6.661590299999999], [498656], [-1407], [540], [133]]
[[41674.249754828], [46.7804876], [6.6615858], [498646], [-1395], [466], [-126]]
[[41674.499754723], [46.7804882], [6.6615809], [498608], [-1483], [221], [41]]
[[41674.749754617], [46.7804885], [6.6615755], [498573], [-1589], [175], [177]]
[[41674.999754513], [46.7804886], [6.6615705], [498574], [-1533], [63], [69]]
[[41675.249754407], [46.7804885], [6.6615654], [498545], [-1553], [-40], [60]]
[[41675.499754302], [46.780488399999996], [6.661560799999999], [498565], [-1436], [-66], [64]]
[[41675.749754197], [46.7804881], [6.6615559], [498504], [-1478], [-130], [26]]
[[41675.999754093], [46.780487799999996], [6.6615506], [498521], [-1617], [-132], [106]]
[[41676.249753987], [46.780487099999995], [6.661545599999999], [498452], [-1507], [-351], [29]]
[[41676.499753881], [46.7804862], [6.6615408], [498477], [-1491], [-332], [174]]
[[41676.749753776], [46.780485399999996], [6.6615359], [498420], [-1466], [-383], [35]]
[[41676.999753672], [46.780484699999995], [6.6615306], [498399], [-1659], [-292], [157]]
[[41677.249753566], [46.7804839], [6.661525699999999], [498332], [-1469], [-381], [114]]
[[41677.499753461], [46.7804831], [6.6615208], [498336], [-1499], [-347], [205]]
[[41677.749753356], [46.780482299999996], [6.6615158999999995], [498288], [-1493], [-323], [53]]
[[41677.999753252], [46.7804814], [6.6615104999999994], [498288], [-1704], [-390], [142]]
[[41678.249753146], [46.7804795], [6.661505399999999], [498227], [-1465], [-865], [62]]
[[41678.499753041], [46.7804778], [6.6615008], [498207], [-1476], [-608], [151]]
[[41678.749752936], [46.7804777], [6.661496199999999], [498053], [-1526], [-297], [140]]
[[41678.999752832], [46.7804771], [6.6614911999999995], [498027], [-1495], [-241], [468]]
[[41679.249752726], [46.7804767], [6.661486399999999], [498034], [-1457], [-159], [190]]
[[41679.499752621], [46.780476], [6.6614813999999996], [498135], [-1493], [-320], [23]]
[[41679.749752516], [46.7804754], [6.661477], [498117], [-1303], [-137], [-162]]
[[41679.999752412], [46.7804748], [6.6614721], [498097], [-1536], [-284], [-65]]
[[41680.249752306], [46.7804742], [6.6614676], [498087], [-1333], [-231], [12]]
[[41680.499752201], [46.780473199999996], [6.6614626999999995], [498094], [-1507], [-493], [69]]
[[41680.749752096], [46.7804723], [6.6614583], [498112], [-1403], [-353], [-8]]
[[41680.999751992], [46.780471399999996], [6.6614531999999995], [498045], [-1500], [-400], [-4]]
[[41681.249751886], [46.780470699999995], [6.661448999999999], [498055], [-1269], [-332], [121]]
[[41681.499751781], [46.7804699], [6.661444299999999], [498055], [-1453], [-351], [44]]
[[41681.749751676], [46.7804694], [6.6614401999999995], [498071], [-1228], [-151], [-14]]
[[41681.999751572], [46.780468899999995], [6.6614356], [498049], [-1352], [-248], [22]]
[[41682.249751466], [46.780468299999995], [6.6614315], [498067], [-1217], [-353], [7]]
[[41682.499751361], [46.7804674], [6.661427499999999], [498017], [-1220], [-395], [37]]
[[41682.749751256], [46.7804663], [6.6614236], [498026], [-1185], [-422], [104]]
[[41682.999751152], [46.780465199999995], [6.661419599999999], [497940], [-1192], [-521], [57]]
[[41683.249751046], [46.780464599999995], [6.661416], [497823], [-1189], [-431], [239]]
[[41683.499750941], [46.7804633], [6.6614128], [497714], [-921], [-569], [458]]
[[41683.749750836], [46.780462299999996], [6.6614109], [497493], [-745], [-416], [495]]
[[41683.999750732], [46.7804618], [6.661409399999999], [497352], [-355], [-234], [759]]
[[41684.249750626], [46.780462], [6.661409099999999], [497255], [-151], [49], [530]]
[[41684.499750521], [46.7804618], [6.661409399999999], [497238], [36], [-62], [356]]
[[41684.749750417], [46.7804618], [6.6614096], [497231], [34], [-13], [115]]
[[41684.999750313], [46.780461599999995], [6.6614094999999995], [497243], [4], [-17], [41]]
[[41685.249750207], [46.780461599999995], [6.6614094999999995], [497239], [-9], [1], [-14]]
[[41685.499750102], [46.780461599999995], [6.6614094999999995], [497244], [-3], [-3], [6]]
